Table Name,State Code,Distt. Code,Area Name,Total/ Rural/ Urban,Age,Total Persons,Total Males,Total Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Literate - Persons,Literate - Males,Literate - Females,Educational level - Literate without educational level - Persons,Educational level - Literate without educational level - Males,Educational level - Literate without educational level - Females,Educational level - Below Primary - Persons,Educational level - Below Primary - Males,Educational level - Below Primary - Females,Educational level - Primary - Persons,Educational level - Primary - Males,Educational level - Primary - Females,Educational level - Middle - Persons,Educational level - Middle - Males,Educational level - Middle - Females,Educational level - Matric/Secondary - Persons,Educational level - Matric/Secondary - Males,Educational level - Matric/Secondary - Females,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Persons,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Males,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Females,Educational level - Non-technical diploma or certificate not equal to degree - Persons,Educational level - Non-technical diploma or certificate not equal to degree - Males,Educational level - Non-technical diploma or certificate not equal to degree - Females,Educational level - Technical diploma or certificate not equal to degree - Persons,Educational level - Technical diploma or certificate not equal to degree - Males,Educational level - Technical diploma or certificate not equal to degree - Females,Educational level - Graduate & above - Persons,Educational level - Graduate & above - Males,Educational level - Graduate & above - Females,Educational level - Unclassified - Persons,Educational level - Unclassified - Males,Educational level - Unclassified - Females
C2308,1,0,State - JAMMU & KASHMIR,Total,All ages,12541302,6640662,5900640,5474069,2375991,3098078,7067233,4264671,2802562,195783,124009,71774,987774,541130,446644,1285909,719512,566397,1666381,1015129,651252,1411973,919672,492301,776437,486800,289637,4781,3542,1239,50822,33854,16968,653764,401279,252485,33609,19744,13865
C2308,1,0,State - JAMMU & KASHMIR,Total,0-6,2018905,1084355,934550,2018905,1084355,934550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2308,1,0,State - JAMMU & KASHMIR,Total,7,270538,142123,128415,91361,45646,45715,179177,96477,82700,3570,2216,1354,173571,93095,80476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036,1166,870
C2308,1,0,State - JAMMU & KASHMIR,Total,8,285314,150470,134844,59762,28675,31087,225552,121795,103757,2704,1683,1021,221202,119170,102032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646,942,704
C2308,1,0,State - JAMMU & KASHMIR,Total,9,252100,133371,118729,38753,18136,20617,",",115235,98112,2339,1460,879,184326,99450,84876,25468,13603,11865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214,722,492
C2308,1,0,State - JAMMU & KASHMIR,Total,10,314283,166773,147510,52112,24445,27667,262171,142328,119843,3122,1942,1180,169454,92110,77344,88107,47399,40708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1488,877,611
C2308,1,0,State - JAMMU & KASHMIR,Total,11,282049,149261,132788,34140,15096,19044,247909,134165,113744,2548,1596,952,79047,43037,36010,165167,88841,76326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,691,456
C2308,1,0,State - JAMMU & KASHMIR,Total,12,289798,152365,137433,32002,12876,19126,257796,139489,118307,2501,1551,950,31534,16983,14551,192027,103528,88499,30766,16845,13921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,582,386
C2308,1,0,State - JAMMU & KASHMIR,Total,13,261079,136728,124351,25759,9823,15936,235320,126905,108415,2140,1362,778,12837,6704,6133,146946,79387,67559,72616,39019,33597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,433,348
C2308,1,0,State - JAMMU & KASHMIR,Total,14,266644,139728,126916,26780,9706,17074,239864,130022,109842,2232,1323,909,6841,3535,3306,83818,45704,38114,146258,79052,67206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,408,307
C2308,1,0,State - JAMMU & KASHMIR,Total,15,270992,140502,130490,32536,11447,21089,238456,129055,109401,2253,1334,919,4942,2539,2403,43164,23142,20022,130422,70604,59818,56930,31024,25906,0,0,0,0,0,0,0,0,0,0,0,0,745,412,333
C2308,1,0,State - JAMMU & KASHMIR,Total,16,263041,136077,126964,32564,10834,21730,230477,125243,105234,2213,1286,927,4149,2101,2048,25663,13555,12108,93754,51073,42681,104062,56842,47220,0,0,0,0,0,0,0,0,0,0,0,0,636,386,250
C2308,1,0,State - JAMMU & KASHMIR,Total,17,221619,115421,106198,26748,8943,17805,194871,106478,88393,2018,1166,852,3164,1622,1542,16673,9070,7603,57410,31379,26031,115097,62951,52146,0,0,0,0,0,0,0,0,0,0,0,0,509,290,219
C2308,1,0,State - JAMMU & KASHMIR,Total,18,276216,141830,134386,44924,14734,30190,231292,127096,104196,3097,1735,1362,4220,2177,2043,20154,10823,9331,58666,31782,26884,75302,42103,33199,65397,35916,29481,324,238,86,3435,1930,1505,0,0,0,697,392,305
C2308,1,0,State - JAMMU & KASHMIR,Total,19,205594,106532,99062,30530,9453,21077,175064,97079,77985,2427,1395,1032,3162,1734,1428,13388,7354,6034,38861,21167,17694,46585,26300,20285,67000,36895,30105,252,197,55,2878,1746,1132,0,0,0,511,291,220
